,Bib,M/F,"X1, Age","X2, 5K Pace","X3, Half Pace","Y, Official Time","X4, Gender","X5, Wave: Elite","X6, Wave: One","X7, Wave: Two","X8, Wave: Three",Index,Yfit,Res,"lnY, Official Time",lnYfit,"Res, lnY",ti,hii,DFFITS,Cooks distance
10028,11456,F,30,4.82,4.89869,221.0,1,0,0,1,0,5083,218.5006102607117,2.49938973928829,5.3981627015177525,5.384318691323395,0.013844010194357104,0.1936250505370644,0.0004659775671933994,0.004180663938112462,1.9421364464728467e-06
24677,30992,M,42,5.954,6.7591,312.67,0,0,0,0,0,12305,322.0243153931977,-9.35431539319768,5.745148321262097,5.782821740784507,-0.037673419522409546,-0.724871173027522,0.0009869751595237087,-0.02278391568747569,5.768061270074747e-05
24086,28226,F,52,6.484,6.542009999999999,302.18,1,0,0,0,0,12014,291.95842287744955,10.221577122550457,5.711022866311695,5.674672501102798,0.03635036520889745,0.7919433465670926,0.0006451246473043654,0.02012130128748045,4.49864692891657e-05
24222,23525,F,51,6.954,6.930680000000001,304.55,1,0,0,0,1,12083,304.42556405621207,0.12443594378794387,5.718835277282493,5.731964243249185,-0.013128965966691553,0.009644661033143207,0.0014513562684182642,0.00036769639518335505,1.5023433504685153e-08
16384,29554,M,56,5.41,5.514869999999999,243.65,0,0,0,0,0,8220,256.14857007522056,-12.498570075220556,5.495732769289515,5.532722827905761,-0.03699005861624638,-0.9683797152603874,0.0006636713279789105,-0.02495550563303882,6.919780041482896e-05
9289,10937,M,50,5.274,5.34044,218.37,0,0,0,1,0,4723,242.96764843077128,-24.597648430771272,5.386190871798276,5.481832232246924,-0.09564136044864746,-1.9058222849975253,0.00047519377963822296,-0.041554779861200104,0.0001918283093904608
20748,31352,F,37,6.25,6.14433,268.12,1,0,0,0,0,10359,272.97278930242305,-4.852789302423048,5.591434641489757,5.599178895663577,-0.0077442541738204085,-0.3759483400921911,0.0005003279158945356,-0.00841132107755667,7.861659330791473e-06
6455,15044,F,23,4.88,4.9143300000000005,207.77,1,0,0,1,0,3290,218.72708781593312,-10.957087815933107,5.336431698656694,5.384447016276245,-0.04801531761955058,-0.8489088508647533,0.0005906968948022652,-0.02063819500413916,4.732712501608007e-05
1432,858,M,35,3.72,3.8620699999999997,179.8,0,0,1,0,0,729,178.94970727436947,0.8502927256305384,5.19184512203752,5.20595152559562,-0.014106403558099778,0.0658698774011196,0.0004262822587723444,0.001360279239841076,2.056110518791056e-07
5927,14274,F,43,4.896,4.8631400000000005,205.78,1,0,0,1,0,3007,214.33856402892388,-8.558564028923882,5.326807636947664,5.371055972953498,-0.04424833600583433,-0.663042742174495,0.0004955797469813585,-0.014764064736131902,2.422076443403462e-05
