,Bib,M/F,"X1, Age","X2, 5K Pace","X3, Half Pace","Y, Official Time","X4, Gender","X5, Wave: Elite","X6, Wave: One","X7, Wave: Two","X8, Wave: Three",Index,Yfit,Res,"lnY, Official Time",lnYfit,"Res, lnY",w3_fit,"Res, w3_OLS",ti,hii,DFFITS,Cooks distance
16778,21543,F,45,5.216,5.38121,245.48,1,0,0,0,1,8403,242.54155336824405,2.9384466317559372,5.503215477520897,5.4867235106171774,0.016491966903719124,242.78590676702987,2.6940932329701184,0.22990885589851373,0.00042536038931168083,0.004742710417712271,4.4999434089227075e-06
16105,21079,F,49,5.446000000000001,5.45562,242.25,1,0,0,0,1,8088,242.70468122674666,-0.4546812267466578,5.489970250770876,5.489333898542015,0.0006363522288603818,242.14028834112412,0.10971165887588086,0.009363670521567289,0.0006725832140248486,0.00024292109755229738,1.1805685404114471e-08
13334,20367,F,48,5.204,5.18877,232.1,1,0,0,0,1,6690,231.02082405033906,1.0791759496609359,5.447168313280391,5.443566703557399,0.003601609722992727,230.1929283512436,1.9070716487563857,0.16276745933124542,0.0006979225722708464,0.004301528569378406,3.701714388080293e-06
13214,19074,M,55,5.05,5.05889,231.68,0,0,0,0,1,6622,232.61557162129907,-0.9355716212990615,5.445357109197351,5.448971745885247,-0.003614636687895967,231.51890725856913,0.1610927414308776,0.013755384792428877,0.00160831171084476,0.000552086817739068,6.097832329819129e-08
17824,18545,F,38,5.104,5.4888,250.8,1,0,0,0,1,8915,251.37624528884953,-0.5762452888495204,5.524655808758766,5.51836568399296,0.006290124765805594,252.75034189524507,-1.9503418952450602,-0.16648850362726528,0.001033096671362941,-0.005354010038464446,5.734763146487862e-06
9959,20278,F,50,5.236000000000001,5.12146,220.73,1,0,0,0,1,5044,226.29566944819663,-5.565669448196644,5.39694023515312,5.4262060368240865,-0.029265801670966596,224.9015788916553,-4.171578891655315,-0.35611650775288084,0.0010867586307800401,-0.0117461290988819,2.7601564777426736e-05
15731,21783,F,50,5.136,5.36083,240.45,1,0,0,0,1,7912,242.48943716956046,-2.039437169560472,5.482512167723671,5.4868246103172895,-0.004312442593618293,243.33177378346562,-2.8817737834656327,-0.24597554176871758,0.0008324799926126257,-0.007100021668792695,1.008491365757863e-05
9307,17544,F,30,4.93,5.017180000000001,218.47,1,0,0,0,1,4731,226.5105540722615,-8.0405540722615,5.386648705338001,5.42208854658194,-0.03543984124393873,225.51410187345283,-7.044101873452831,-0.6014685664094425,0.001456090986782139,-0.022968022703858282,0.00010552628750587588
10624,16633,F,39,4.816,5.01339,223.13,1,0,0,0,1,5374,227.86026057356187,-4.730260573561878,5.407754561246412,5.427906403056868,-0.02015184181045626,227.9661698230788,-4.836169823078791,-0.4128207091810189,0.0009277521477652876,-0.012579952813946301,3.165894852073483e-05
20287,23471,F,55,5.496,5.90686,264.97,1,0,0,0,1,10137,268.66227782527625,-3.6922778252762214,5.579616612030595,5.588688052518022,-0.009071440487427473,271.0426801774419,-6.072680177441896,-0.5185461564418915,0.001574610178543048,-0.0205928349423241,8.483164004500452e-05
10582,19405,F,42,5.06,5.07169,223.02,1,0,0,0,1,5357,226.8546687787661,-3.834668778766087,5.407261453537216,5.426027240816096,-0.018765787278880453,225.91073989907926,-2.89073989907925,-0.24671061043029135,0.0005874181891686787,-0.0059812109076939814,7.157000078025957e-06
12574,21294,M,62,5.446000000000001,5.45562,229.5,0,0,0,0,1,6320,249.05721506368803,-19.557215063688034,5.4359030295006,5.514574586223796,-0.07867155672319637,248.36096661913558,-18.86096661913558,-1.6109994798789318,0.0014476669521622148,-0.06134007674304936,0.000752159794342875
17528,17627,F,30,5.254,5.2575,249.3,1,0,0,0,1,8756,235.18317501522768,14.116824984772336,5.518656990529513,5.4568070950583385,0.06184989547117414,233.70242040739453,15.597579592605484,1.3322483551437168,0.001678200884876826,0.05462253962579177,0.0005965852082941194
14671,16901,F,21,4.814,4.93424,236.62,1,0,0,0,1,7374,224.05190515655687,12.568094843443134,5.466455478825517,5.410705520500737,0.055749958324780025,222.8551113839319,13.764888616068106,1.1765596697151912,0.003234604159089074,0.06702364637110445,0.0008983299147716569
19685,16770,F,24,4.386,4.88778,261.02,1,0,0,0,1,9823,228.7522831441002,32.26771685589978,5.564597032739382,5.426384045393849,0.13821298734553267,230.13048678252537,30.889513217474615,2.6439706211379863,0.004327375663653206,0.1743053194183979,0.006065530870742159
18179,23018,F,60,5.394,5.64759,252.5,1,0,0,0,1,9089,254.6258375964476,-2.12583759644761,5.531411248715415,5.535794338962014,-0.0043830902465993304,256.1556617441848,-3.6556617441847834,-0.3122162143658982,0.0020050969699342024,-0.01399455142350189,3.918013836989039e-05
11284,18404,F,45,5.19,5.03709,225.25,1,0,0,0,1,5690,222.29547996701746,2.9545200329825434,5.417210896488447,5.410034184340211,0.0071767121482357865,220.41658463060162,4.833415369398381,0.4125944061259508,0.0009705225654475505,0.012859882574564455,3.30835795499133e-05
17339,22347,M,62,5.474,5.55279,248.33,0,0,0,0,1,8664,254.4049135768657,-6.074913576865697,5.514758506802571,5.534957094339833,-0.020198587537262114,254.17534335166235,-5.845343351662336,-0.49908054966518717,0.0013672369224889585,-0.018466714231880014,6.821932748301846e-05
21345,21104,F,51,5.82,6.0220400000000005,272.73,1,0,0,0,1,10637,270.0077153224227,2.7222846775773064,5.608482294801877,5.59508783902315,0.013394455778726666,270.8956035407878,1.8343964592122006,0.15660441284753177,0.0012056014911641555,0.005440863553790361,5.922338282915101e-06
21270,21968,F,52,5.684,6.01351,271.9,1,0,0,0,1,10599,271.8740373327101,0.02596266728988894,5.605434351638425,5.601486094744072,0.003948256894353186,273.62368362732315,-1.7236836273231688,-0.1471526532558935,0.0012053083315761667,-0.005111861323957281,5.227764842724878e-06
18370,19944,F,42,5.16,5.47221,253.62,1,0,0,0,1,9190,249.17253128671575,4.447468713284252,5.535837083806753,5.510990129915158,0.02484695389159519,250.2513034411317,3.3686965588682938,0.28751189586830656,0.0006504205297782271,0.007334900414133652,1.076312494582249e-05
9588,19684,F,40,5.013999999999999,5.01481,219.4,1,0,0,0,1,4860,224.35570485384,-4.95570485383999,5.3908965478411295,5.415995749462122,-0.025099201620992773,223.24140243578944,-3.8414024357894334,-0.3278611463067483,0.0006715745214587126,-0.008499295681876996,1.4451488035061512e-05
20598,22699,F,49,5.456,5.81254,267.12,1,0,0,0,1,10293,264.00709406570866,3.112905934291348,5.587697995635399,5.569920870051565,0.017777125583834597,265.7540547758452,1.3659452241548138,0.11659375064076144,0.0008923720259144486,0.0034845131636739852,2.4290876698098696e-06
19437,23593,M,58,5.803999999999999,5.85994,259.45,0,0,0,0,1,9704,267.1967802871072,-7.746780287107185,5.558564005813748,5.584662433856144,-0.026098428042395483,266.7138639876148,-7.263863987614798,-0.6204345789218613,0.0020972262103574717,-0.02844294214973924,0.00016183015412085054
6185,16782,F,39,4.986000000000001,4.93803,206.72,1,0,0,0,1,3138,220.28625828758038,-13.566258287580382,5.331365220594237,5.4002901372657055,-0.0689249166714685,218.7971751635476,-12.077175163547594,-1.031005620478256,0.0008236982856516307,-0.029602204286378175,0.0001752547775529697
17896,21486,F,47,5.284,5.28262,251.13,1,0,0,0,1,8950,235.29037681030186,15.83962318969813,5.525970733340075,5.460028916966812,0.0659418163732628,234.52879245646142,16.601207543538578,1.4172419686128213,0.0005791385838723742,0.03411623122885349,0.00023271279395523176
17048,20783,F,42,5.73,5.6893,246.8,1,0,0,0,1,8527,252.0502032941783,-5.250203294178277,5.508578292031233,5.52527131769834,-0.01669302566710673,250.90784825237853,-4.107848252378517,-0.3507134032780852,0.0013009968305443358,-0.012658235603327688,3.205464806881653e-05
6335,16129,F,29,4.66,4.73137,207.27,1,0,0,0,1,3226,214.18604896986247,-6.916048969862459,5.3340222911688135,5.373732411421622,-0.03971012025280807,212.9799839872711,-5.709983987271102,-0.48765767988808884,0.0019203116663767776,-0.021390371118561024,9.153059583079829e-05
