,Bib,M/F,"X1, Age","X2, 5K Pace","X3, Half Pace","Y, Official Time","X4, Gender","X5, Wave: Elite","X6, Wave: One","X7, Wave: Two","X8, Wave: Three",Index
10714,9819,M,62,4.654,4.8001,223.45,0,0,0,1,0,5285
22600,24044,F,54,5.446000000000001,5.99597,284.53,1,0,0,0,0,11325
7285,3833,M,37,4.6739999999999995,4.777819999999999,211.05,0,0,1,0,0,3569
7920,11620,M,59,4.666,4.86551,213.35,0,0,0,1,0,3882
3509,3426,M,31,4.4639999999999995,4.5503,194.13,0,0,1,0,0,1721
6258,6581,M,49,4.364,4.468780000000001,206.97,0,0,1,0,0,3070
17108,10409,M,47,5.696000000000001,5.78031,247.12,0,0,0,1,0,8527
3798,7470,M,48,4.316,4.39626,195.68,0,0,1,0,0,1866
5055,3492,M,35,4.28,4.39246,201.87,0,0,1,0,0,2504
21653,29473,F,38,6.224,6.1618699999999995,275.3,1,0,0,0,0,10835
5912,14812,F,39,4.886,4.83375,205.72,1,0,0,1,0,2908
1061,1416,M,27,3.966,4.03034,176.8,0,0,1,0,0,512
8945,18343,M,56,4.966,4.98021,217.08,0,0,0,0,1,4380
3077,5685,M,41,4.28,4.3645,191.5,0,0,1,0,0,1507
21046,22633,M,60,5.36,5.5281400000000005,270.15,0,0,0,0,1,10518
23313,26368,M,50,6.013999999999999,6.2054800000000006,292.32,0,0,0,0,0,11684
2747,5958,M,37,4.11,4.13224,189.63,0,0,1,0,0,1355
7143,14447,F,32,4.886,4.86408,210.4,1,0,0,1,0,3495
13470,20434,M,62,4.836,5.07074,232.63,0,0,0,0,1,6706
24471,25029,F,66,5.69,6.575189999999999,308.82,1,0,0,0,0,12242
9601,11695,F,24,4.76,5.01624,219.43,1,0,0,1,0,4722
7403,3689,M,40,4.846,4.89869,211.47,0,0,1,0,0,3617
18024,21350,M,61,5.164,5.39543,251.73,0,0,0,0,1,8983
21302,24719,F,61,5.91,5.95805,272.25,1,0,0,0,0,10662
6322,9863,M,52,4.64,4.68539,207.2,0,0,0,1,0,3096
21797,22085,F,52,5.79,5.95805,276.48,1,0,0,0,1,10912
16254,6854,M,47,4.436,4.59059,243.02,0,0,1,0,0,8082
6561,10607,M,53,4.803999999999999,4.63325,208.18,0,0,0,1,0,3207
24321,27197,F,27,6.376,6.77237,306.1,1,0,0,0,0,12161
25553,25151,M,50,6.156000000000001,6.52779,331.92,0,0,0,0,0,12767
3956,6274,M,36,4.28,4.28108,196.55,0,0,1,0,0,1934
11974,15103,F,19,5.034,5.23664,227.65,1,0,0,1,0,5932
11813,21889,F,49,5.276,5.1973,227.12,1,0,0,0,1,5847
11114,20232,F,43,5.3,5.25181,224.75,1,0,0,0,1,5489
10829,13966,F,41,4.98,5.13094,223.85,1,0,0,1,0,5342
17133,30250,M,25,6.216,5.85994,247.22,0,0,0,0,0,8545
7902,6140,M,37,4.39,4.6673800000000005,213.32,0,0,1,0,0,3869
12032,14094,M,55,5.72,5.39495,227.8,0,0,0,1,0,5964
10521,12032,M,51,4.94,4.88352,222.78,0,0,0,1,0,5178
21644,28699,M,37,6.32,6.23913,275.22,0,0,0,0,0,10831
2848,6197,M,58,4.374,4.39957,190.13,0,0,1,0,0,1394
17027,30564,M,55,5.734,5.66892,246.7,0,0,0,0,0,8492
9240,14474,F,46,4.776,4.89158,218.18,1,0,0,1,0,4535
6438,13894,F,30,4.896,4.8584,207.7,1,0,0,1,0,3151
15728,22510,F,45,5.553999999999999,5.4698400000000005,240.43,1,0,0,0,1,7803
21356,24731,F,60,5.81,6.05617,272.85,1,0,0,0,0,10691
14535,27468,M,63,6.216,5.4115400000000005,236.2,0,0,0,0,0,7224
20527,26786,M,44,5.82,5.88127,266.67,0,0,0,0,0,10250
2878,2850,F,48,4.154,4.30146,190.33,1,0,1,0,0,1414
15775,13146,M,58,5.1339999999999995,5.461790000000001,240.63,0,0,0,1,0,7829
6765,12203,F,32,4.976,4.8693,208.95,1,0,0,1,0,3322
15947,16621,F,35,4.946000000000001,5.2556,241.48,1,0,0,0,1,7913
8624,4294,M,38,4.27,4.456930000000001,216.0,0,0,1,0,0,4229
18739,20992,F,39,5.254,5.3110599999999994,255.72,1,0,0,0,1,9354
13054,17192,F,43,5.263999999999999,5.32859,231.1,1,0,0,0,1,6497
3067,7567,F,32,4.516,4.49911,191.45,1,0,1,0,0,1504
21444,29681,M,36,5.686,5.70826,273.62,0,0,0,0,0,10742
16620,21090,F,45,5.646,5.58976,244.7,1,0,0,0,1,8276
17354,17413,F,50,5.144,5.48738,248.43,1,0,0,0,1,8665
9552,13087,F,39,4.843999999999999,4.893,219.28,1,0,0,1,0,4696
12910,21190,F,54,5.346,5.34898,230.62,1,0,0,0,1,6427
10380,10257,M,47,4.64,4.69819,222.27,0,0,0,1,0,5108
3898,3614,M,33,4.224,4.23842,196.27,0,0,1,0,0,1913
13702,10330,F,30,5.936,5.7186900000000005,233.35,1,0,0,1,0,6823
10090,17113,F,21,4.694,4.93329,221.27,1,0,0,0,1,4968
13042,12061,M,46,5.164,5.06837,231.05,0,0,0,1,0,6488
8436,10698,M,47,4.73,4.71241,215.27,0,0,0,1,0,4131
11263,22178,F,47,5.124,5.09207,225.18,1,0,0,0,1,5571
16214,3447,M,36,5.294,5.2556,242.78,0,0,1,0,0,8062
13121,12451,M,55,4.6,4.59201,231.32,0,0,0,1,0,6529
21222,29838,M,41,6.416,6.4510000000000005,271.57,0,0,0,0,0,10625
18792,18640,M,57,5.274,5.27314,256.05,0,0,0,0,1,9374
25822,22639,M,63,5.626,6.34815,340.62,0,0,0,0,1,12900
26213,25174,M,56,6.994,7.57436,356.47,0,0,0,0,0,13100
5804,9544,F,40,4.724,4.66785,205.32,1,0,0,1,0,2850
66,162,M,31,3.4160000000000004,3.4634400000000003,151.32,0,0,1,0,0,33
8894,12873,F,40,4.856,4.98495,216.92,1,0,0,1,0,4354
13681,25359,M,46,4.82,5.003909999999999,233.27,0,0,0,0,0,6810
11491,16814,M,66,4.974,5.01624,225.97,0,0,0,0,1,5674
14439,1587,M,26,3.88,3.95687,235.85,0,0,1,0,0,7184
9276,13774,F,51,5.2,5.21389,218.33,1,0,0,1,0,4556
3322,2940,M,29,4.09,4.15594,193.13,0,0,1,0,0,1636
24,23,F,25,3.55,3.4388,143.0,1,1,0,0,0,10
25963,28644,M,33,6.346,6.62259,346.22,0,0,0,0,0,12972
20392,23503,M,69,5.346,5.85615,265.63,0,0,0,0,1,10178
16695,23265,F,50,5.564,5.77794,245.08,1,0,0,0,1,8318
3120,2149,M,28,4.25,4.31473,191.83,0,0,1,0,0,1530
25334,30157,F,58,6.626,7.49947,326.37,1,0,0,0,0,12658
8428,17917,F,45,5.006,4.90911,215.23,1,0,0,0,1,4129
7099,13195,F,45,5.024,4.892519999999999,210.23,1,0,0,1,0,3471
2403,4748,M,53,4.374,4.32137,187.7,0,0,1,0,0,1185
14831,26315,M,26,6.086,5.71537,237.22,0,0,0,0,0,7364
1998,2633,M,48,4.053999999999999,4.14504,184.83,0,0,1,0,0,991
15938,17162,F,36,5.35,5.396380000000001,241.45,1,0,0,0,1,7907
8302,14366,F,32,4.82,4.79062,214.8,1,0,0,1,0,4068
14422,19122,F,48,5.15,5.4115400000000005,235.78,1,0,0,0,1,7175
12471,15307,M,58,5.124,5.19635,229.12,0,0,0,1,0,6195
15267,24096,M,29,5.864,5.506819999999999,238.68,0,0,0,0,0,7567
3085,6671,M,51,4.303999999999999,4.283919999999999,191.55,0,0,1,0,0,1514
23985,26502,M,42,5.56,5.77652,300.82,0,0,0,0,0,12001
16991,19296,M,60,5.19,5.23664,246.45,0,0,0,0,1,8475
16498,26277,F,42,6.154,5.7234300000000005,244.1,1,0,0,0,0,8210
25211,26596,F,28,7.1739999999999995,7.492360000000001,323.72,1,0,0,0,0,12596
12231,7260,M,47,4.646,4.73184,228.37,0,0,1,0,0,6070
16721,28740,M,47,6.194,5.68314,245.22,0,0,0,0,0,8332
22885,18157,F,50,5.35,5.91871,287.37,1,0,0,0,1,11472
25319,28324,F,24,6.624,7.20228,326.2,1,0,0,0,0,12650
5851,7543,F,32,4.434,4.41522,205.47,1,0,1,0,0,2876
5714,5116,M,39,4.28,4.49437,204.97,0,0,1,0,0,2812
528,1259,M,47,3.906,3.91279,169.23,0,0,1,0,0,265
14407,19805,F,49,5.186,5.24707,235.72,1,0,0,0,1,7171
1476,3796,F,32,4.324,4.2455300000000005,180.22,1,0,1,0,0,720
2589,6604,M,40,4.456,4.5019599999999995,188.93,0,0,1,0,0,1278
22464,28992,M,25,5.96,5.81112,283.1,0,0,0,0,0,11256
579,614,M,53,3.71,3.86539,169.9,0,0,1,0,0,285
2256,1393,M,27,3.85,3.8857699999999995,186.65,0,0,1,0,0,1120
238,106,M,30,3.636,3.6340800000000004,162.55,0,0,1,0,0,124
12498,12221,F,49,4.744,5.127619999999999,229.18,1,0,0,1,0,6208
